street,sa2_code,sa2_name,installation_type,installations,kw_rating,kw_total
WIROA ROAD,102300,Okaihau,Res,4,6.0,24.0
BUSH POINT ROAD,102400,Rangitane-Purerua,Res,3 or less,9.1,
CAVALLI VIEW ROAD,102400,Rangitane-Purerua,Res,3 or less,5.0,
DOVES BAY ROAD,102400,Rangitane-Purerua,Res,8,6.7,53.4
HANSEN ROAD,102400,Rangitane-Purerua,Res,3 or less,5.0,
KOTUKU ROAD,102400,Rangitane-Purerua,Res,3 or less,3.8,
KURAPARI ROAD,102400,Rangitane-Purerua,Res,3 or less,10.0,
MCKENZIE ROAD,102400,Rangitane-Purerua,Res,3 or less,10.0,
OIHI ROAD,102400,Rangitane-Purerua,Res,3 or less,11.0,
OPITO BAY ROAD,102400,Rangitane-Purerua,Res,12,8.8,105.0
OTAHA ROAD,102400,Rangitane-Purerua,Res,4,3.4,13.5
POUNAMU PLACE,102400,Rangitane-Purerua,Res,3 or less,4.8,
PURERUA ROAD,102400,Rangitane-Purerua,Res,3 or less,6.8,
RANGIHOUA ROAD,102400,Rangitane-Purerua,Res,3 or less,6.8,
RANGITANE LOOP ROAD,102400,Rangitane-Purerua,Res,9,5.7,51.0
RANGITANE ROAD,102400,Rangitane-Purerua,Res,8,6.9,55.0
REDCLIFFS ROAD,102400,Rangitane-Purerua,Res,6,6.7,40.0
ROWSELL LANE,102400,Rangitane-Purerua,Res,4,6.8,27.2
ST ANTHONYS WAY,102400,Rangitane-Purerua,Res,3 or less,5.0,
TAKOU BAY ROAD,102400,Rangitane-Purerua,Res,5,4.6,23.2
TARONUI ROAD,102400,Rangitane-Purerua,Res,5,6.2,31.2
TE KOWHAI POINT ROAD,102400,Rangitane-Purerua,Res,3 or less,5.3,
TE RA ROAD,102400,Rangitane-Purerua,Res,4,4.3,17.2
TE TII ROAD EXTENSION,102400,Rangitane-Purerua,Res,3 or less,6.0,
WAIRANGI ROAD,102400,Rangitane-Purerua,Res,3 or less,5.0,
YACHT DRIVE,102400,Rangitane-Purerua,Res,3 or less,10.0,
GREENFIELDS WAY,102500,Waipapa,Res,3 or less,5.0,
HARMONY LANE,102500,Waipapa,Res,3 or less,4.0,
IRONBARK ROAD,102500,Waipapa,Res,4,6.5,26.0
KOROPEWA ROAD,102500,Waipapa,Res,6,7.0,42.0
MAWSON AVENUE,102500,Waipapa,Res,5,4.7,23.7
PATHWAYS DRIVE,102500,Waipapa,Res,5,6.2,30.8
PUNGAERE ROAD,102500,Waipapa,Res,5,6.7,33.7
RIVERSTREAM DRIVE,102500,Waipapa,Res,7,6.1,42.6
STATE HIGHWAY 10,102500,Waipapa,Res,3 or less,4.1,
THE LAKES DRIVE,102500,Waipapa,Res,4,7.5,30.0
WAIPAPA ROAD,102500,Waipapa,Res,10,6.4,64.2
WAITOTARA DRIVE,102500,Waipapa,Res,4,6.3,25.2
AMURI ROAD,102600,Puketotara,Res,3 or less,6.4,
ARTHUR TAYLOR PLACE,102600,Puketotara,Res,3 or less,6.0,
BILLS LANE,102600,Puketotara,Res,3 or less,3.1,
BLUE GUM LANE,102600,Puketotara,Res,4,3.4,13.8
COTTLE HILL DRIVE,102600,Puketotara,Res,3 or less,4.4,
MANAKO PLACE,102600,Puketotara,Res,4,7.0,28.1
MANGAKARETU ROAD,102600,Puketotara,Res,3 or less,3.8,
MONTROSE ROAD,102600,Puketotara,Res,3 or less,5.0,
POPLAR LANE,102600,Puketotara,Res,3 or less,6.4,
PUKETOTARA ROAD,102600,Puketotara,Res,15,4.6,69.6
SPRINGBANK ROAD,102600,Puketotara,Res,3 or less,6.7,
STATE HIGHWAY 10,102600,Puketotara,Res,12,5.3,63.6
TYREE ROAD,102600,Puketotara,Res,3 or less,5.3,
VALENCIA LANE,102600,Puketotara,Res,9,4.9,43.8
WAIMATE NORTH ROAD,102600,Puketotara,Res,12,5.6,66.6
WAIMATE ROAD,102600,Puketotara,Res,4,4.5,18.0
WAINGARO LANE,102600,Puketotara,Res,3 or less,2.9,
WIROA ROAD,102600,Puketotara,Res,13,6.3,82.1
GUTHRIE ROAD,102700,Waima Forest,Res,3 or less,2.7,
MANGATAWA ROAD,102700,Waima Forest,Res,3 or less,3.1,
MISSION OAK ROAD,102700,Waima Forest,Res,3 or less,10.0,
NINIHI ROAD,102700,Waima Forest,Res,3 or less,5.9,
OTAUA ROAD,102700,Waima Forest,Res,4,5.8,23.0
PERAS ROAD,102700,Waima Forest,Res,3 or less,5.0,
PUNAKITERE ROAD,102700,Waima Forest,Res,3 or less,4.2,
RENWICK ROAD,102700,Waima Forest,Res,3 or less,5.0,
STATE HIGHWAY 12,102700,Waima Forest,Res,8,4.2,33.9
WAIMA VALLEY ROAD,102700,Waima Forest,Res,3 or less,2.0,
WHAREPUNGA ROAD,102700,Waima Forest,Res,3 or less,5.0,
AMBER LANE,102800,Riverview,Res,3 or less,5.0,
AMSHARLO DRIVE,102800,Riverview,Res,3 or less,6.0,
AO MARAMA PLACE,102800,Riverview,Res,5,5.1,25.5
ASCOT DOWNS LANE,102800,Riverview,Res,3 or less,6.1,
ASTRID DRIVE,102800,Riverview,Res,3 or less,5.0,
AWHITU ROAD,102800,Riverview,Res,4,4.8,19.0
BLUE MARLIN DRIVE,102800,Riverview,Res,4,4.5,17.9
BLUE PENGUIN DRIVE,102800,Riverview,Res,6,6.5,39.3
COCHRANE DRIVE,102800,Riverview,Res,3 or less,5.6,
COTTLE WAY,102800,Riverview,Res,3 or less,7.3,
EDKINS ROAD,102800,Riverview,Res,11,4.5,49.6
JAMES KEMP PLACE,102800,Riverview,Res,3 or less,5.0,
KARAKA DRIVE,102800,Riverview,Res,8,4.5,36.0
KEMP ROAD,102800,Riverview,Res,13,5.0,65.6
KENDALL ROAD,102800,Riverview,Res,8,5.3,42.5
KINGFISHER DRIVE,102800,Riverview,Res,4,10.1,40.4
LANDING ROAD,102800,Riverview,Res,13,5.5,71.4
LENSVELT LANE,102800,Riverview,Res,4,5.3,21.2
MATAU PLACE,102800,Riverview,Res,3 or less,12.5,
MILLERS LANE,102800,Riverview,Res,3 or less,5.0,
MISSION ROAD,102800,Riverview,Res,9,5.5,49.7
NEWTON WATTS DRIVE,102800,Riverview,Res,3 or less,2.5,
PALM DRIVE,102800,Riverview,Res,3 or less,10.5,
PARETU DRIVE,102800,Riverview,Res,3 or less,2.9,
RAINBOW FALLS ROAD,102800,Riverview,Res,23,5.9,135.6
RIVERVIEW ROAD,102800,Riverview,Res,10,6.6,65.7
SELWYN PLACE,102800,Riverview,Res,3 or less,5.0,
SILKWOOD LANE,102800,Riverview,Res,4,4.6,18.5
SKUDDERS BEACH ROAD,102800,Riverview,Res,5,3.9,19.4
TAREHA PLACE,102800,Riverview,Res,3 or less,5.0,
WAIPAPA LANDING PLACE,102800,Riverview,Res,3 or less,5.0,
WAIPAPA ROAD,102800,Riverview,Res,4,6.5,26.1
WATSON LANE,102800,Riverview,Res,3 or less,5.5,
AKIHA STREET,102900,Waipoua Forest,Res,3 or less,3.8,
FAIRLIE CRESCENT,102900,Waipoua Forest,Res,5,5.4,26.9
HOKIANGA HARBOUR DRIVE,102900,Waipoua Forest,Res,3 or less,5.0,
KOKOHU ROAD,102900,Waipoua Forest,Res,3 or less,6.0,
KOKOHUIA ROAD,102900,Waipoua Forest,Res,3 or less,2.8,
MIRO AVENUE,102900,Waipoua Forest,Res,3 or less,6.0,
MIRO PLACE,102900,Waipoua Forest,Res,3 or less,2.7,
NEWTON ROAD,102900,Waipoua Forest,Res,3 or less,3.8,
OPONONI HEIGHTS DRIVE,102900,Waipoua Forest,Res,3 or less,2.7,
PINEHILL ROAD,102900,Waipoua Forest,Res,3 or less,10.0,
PIONEER WALK,102900,Waipoua Forest,Res,3 or less,2.5,
POKAS ROAD,102900,Waipoua Forest,Res,3 or less,3.4,
SIGNAL STATION ROAD,102900,Waipoua Forest,Res,3 or less,6.0,
STATE HIGHWAY 12,102900,Waipoua Forest,Res,11,4.7,52.0
TAITA ROAD,102900,Waipoua Forest,Res,3 or less,5.0,
TAUMATAWIWI STREET,102900,Waipoua Forest,Res,6,4.6,27.8
WAIANGA PLACE,102900,Waipoua Forest,Res,4,4.0,16.0
WAIHUKA ROAD,102900,Waipoua Forest,Res,3 or less,8.0,
WAIOTEMARAMA GORGE ROAD,102900,Waipoua Forest,Res,3 or less,5.2,
WEKAWEKA ROAD,102900,Waipoua Forest,Res,3 or less,4.8,
ALDERTON DRIVE,103000,Kerikeri Central,Res,5,5.6,27.9
AMOKURA DRIVE,103000,Kerikeri Central,Res,3 or less,7.3,
BARRETT PLACE,103000,Kerikeri Central,Res,3 or less,6.0,
BASKA VODA DRIVE,103000,Kerikeri Central,Res,4,5.3,21.3
BUTLER ROAD,103000,Kerikeri Central,Res,3 or less,5.0,
COBHAM COURT,103000,Kerikeri Central,Res,3 or less,4.2,
FAIRWAY DRIVE,103000,Kerikeri Central,Res,4,4.3,17.0
HAWKINGS CRESCENT,103000,Kerikeri Central,Res,3 or less,3.5,
HONE HEKE ROAD,103000,Kerikeri Central,Res,11,6.0,65.8
JACARANDA PLACE,103000,Kerikeri Central,Res,4,4.3,17.3
KERIKERI GROVE,103000,Kerikeri Central,Res,3 or less,5.0,
KERIKERI ROAD,103000,Kerikeri Central,Res,4,4.0,16.1
KILOUNTAIN PLACE,103000,Kerikeri Central,Res,3 or less,1.5,
KOROMIKO LANE,103000,Kerikeri Central,Res,3 or less,3.0,
LANARK ROAD,103000,Kerikeri Central,Res,3 or less,3.1,
MAHOE TERRACE,103000,Kerikeri Central,Res,3 or less,3.0,
MATIPO LANE,103000,Kerikeri Central,Res,3 or less,3.0,
OAKRIDGE DRIVE,103000,Kerikeri Central,Res,3 or less,4.0,
PEACOCK GARDEN DRIVE,103000,Kerikeri Central,Res,3 or less,4.0,
POMPALLIER PLACE,103000,Kerikeri Central,Res,3 or less,5.0,
RANUI AVENUE,103000,Kerikeri Central,Res,6,4.0,24.1
SEDDON WAY,103000,Kerikeri Central,Res,3 or less,2.3,
THE RIDGE,103000,Kerikeri Central,Res,6,3.7,22.5
VILLAGE CLOSE,103000,Kerikeri Central,Res,3 or less,6.0,
WENTWORTH TERRACE,103000,Kerikeri Central,Res,3 or less,6.0,
WOODLEY PLACE,103000,Kerikeri Central,Res,3 or less,3.0,
ACCESS HEIGHTS,103100,Kerikeri South,Res,3 or less,9.0,
ACCESS ROAD,103100,Kerikeri South,Res,10,5.2,52.0
ARA LANE,103100,Kerikeri South,Res,3 or less,5.0,
BLACKS ROAD,103100,Kerikeri South,Res,5,5.5,27.4
BULLS ROAD,103100,Kerikeri South,Res,3 or less,3.6,
COBHAM ROAD,103100,Kerikeri South,Res,5,3.2,15.8
CRACKERJACK CRESCENT,103100,Kerikeri South,Res,3 or less,5.0,
DARWIN ROAD,103100,Kerikeri South,Res,9,5.6,50.7
FIELD VIEW,103100,Kerikeri South,Res,3 or less,10.0,
FULLER TERRACE,103100,Kerikeri South,Res,3 or less,5.0,
GREENWAY DRIVE,103100,Kerikeri South,Res,4,4.5,17.8
HALL ROAD,103100,Kerikeri South,Res,5,5.8,29.2
HERON HILL,103100,Kerikeri South,Res,3 or less,6.0,
HIGHLAND WAY,103100,Kerikeri South,Res,3 or less,6.0,
HOULTS WAY,103100,Kerikeri South,Res,3 or less,5.3,
KERIDALE LANE,103100,Kerikeri South,Res,8,5.1,40.4
KERIKERI INLET ROAD,103100,Kerikeri South,Res,26,4.9,128.1
KERIKERI ROAD,103100,Kerikeri South,Res,11,5.9,64.6
KOTARE HEIGHTS,103100,Kerikeri South,Res,5,5.5,27.4
MARAENUI DRIVE,103100,Kerikeri South,Res,3 or less,5.7,
MARTHA CLARKE LANE,103100,Kerikeri South,Res,3 or less,5.0,
OKURA DRIVE,103100,Kerikeri South,Res,3 or less,5.3,
ORCHARD PLACE,103100,Kerikeri South,Res,3 or less,5.0,
PA ROAD,103100,Kerikeri South,Res,5,5.4,27.0
PEIHANA RISE,103100,Kerikeri South,Res,3 or less,6.0,
PICKMERE LANE,103100,Kerikeri South,Res,5,4.7,23.3
RANUI AVENUE,103100,Kerikeri South,Res,3 or less,7.0,
RARERE TERRACE,103100,Kerikeri South,Res,12,6.8,81.7
REINGA ROAD,103100,Kerikeri South,Res,10,4.6,45.6
RIDDELL ROAD,103100,Kerikeri South,Res,14,4.5,62.8
RIVERBANK DRIVE,103100,Kerikeri South,Res,3 or less,6.3,
RIVERCREST WAY,103100,Kerikeri South,Res,3 or less,5.0,
RIVERSTONE LANE,103100,Kerikeri South,Res,3 or less,2.5,
ROSIE LANE,103100,Kerikeri South,Res,3 or less,5.0,
RURU LANE,103100,Kerikeri South,Res,3 or less,3.0,
SARAWAK DRIVE,103100,Kerikeri South,Res,3 or less,4.1,
SHEPHERD ROAD,103100,Kerikeri South,Res,7,5.1,35.8
STONEY BROOK LANE,103100,Kerikeri South,Res,3 or less,4.8,
TE WAIRERE CRESCENT,103100,Kerikeri South,Res,3 or less,5.3,
URUTAWA DRIVE,103100,Kerikeri South,Res,5,4.1,20.6
BULLMAN ROAD,103200,Ohaeawai-Waimate North,Res,3 or less,2.0,
COURTHOUSE LANE,103200,Ohaeawai-Waimate North,Res,3 or less,5.5,
HARIRU ROAD,103200,Ohaeawai-Waimate North,Res,3 or less,5.0,
REMUERA SETTLEMENT ROAD,103200,Ohaeawai-Waimate North,Res,3 or less,6.3,
SHOWGROUND ROAD,103200,Ohaeawai-Waimate North,Res,12,4.5,53.7
STATE HIGHWAY 1,103200,Ohaeawai-Waimate North,Res,11,5.3,58.7
STATE HIGHWAY 12,103200,Ohaeawai-Waimate North,Res,3 or less,1.8,
TE AHU AHU ROAD,103200,Ohaeawai-Waimate North,Res,4,4.3,17.2
WAIKUKU ROAD,103200,Ohaeawai-Waimate North,Res,4,6.1,24.2
WAIMATE NORTH ROAD,103200,Ohaeawai-Waimate North,Res,3 or less,6.0,
WAITAHEKE ROAD,103200,Ohaeawai-Waimate North,Res,3 or less,5.5,
WEHIRUA ROAD,103200,Ohaeawai-Waimate North,Res,3 or less,8.0,
WHAKATAHA ROAD,103200,Ohaeawai-Waimate North,Res,3 or less,8.0,
WIROA ROAD,103200,Ohaeawai-Waimate North,Res,3 or less,4.4,
DAVIS STRONGMAN PLACE,103300,Puketona-Waitangi,Res,5,5.2,26.1
EDMONDS ROAD,103300,Puketona-Waitangi,Res,8,5.5,43.7
FURNESS ROAD,103300,Puketona-Waitangi,Res,3 or less,5.0,
HARURU FALLS ROAD,103300,Puketona-Waitangi,Res,3 or less,8.0,
HAUPARUA LANE,103300,Puketona-Waitangi,Res,3 or less,8.5,
JAMIESON ESPLANADE,103300,Puketona-Waitangi,Res,3 or less,6.0,
KAIPATIKI ROAD,103300,Puketona-Waitangi,Res,3 or less,2.6,
KERIKERI INLET ROAD,103300,Puketona-Waitangi,Res,9,6.6,59.6
LILY POND LANE,103300,Puketona-Waitangi,Res,3 or less,2.6,
OKOKAKO ROAD,103300,Puketona-Waitangi,Res,3 or less,5.0,
OROMAHOE ROAD,103300,Puketona-Waitangi,Res,3 or less,5.1,
PUKETONA ROAD,103300,Puketona-Waitangi,Res,17,5.5,93.9
PUKETUTU ROAD,103300,Puketona-Waitangi,Res,3 or less,4.5,
RETREAT ROAD,103300,Puketona-Waitangi,Res,3 or less,5.0,
STATE HIGHWAY 10,103300,Puketona-Waitangi,Res,7,4.9,34.3
TE AHU AHU ROAD,103300,Puketona-Waitangi,Res,3 or less,6.0,
TUI GLEN ROAD,103300,Puketona-Waitangi,Res,3 or less,11.0,
WAIKARAMU ROAD,103300,Puketona-Waitangi,Res,3 or less,6.0,
WAIMATE NORTH ROAD,103300,Puketona-Waitangi,Res,3 or less,4.0,
WAIMATE ROAD,103300,Puketona-Waitangi,Res,3 or less,3.0,
WAKELIN ROAD,103300,Puketona-Waitangi,Res,3 or less,5.1,
WHARAU ROAD,103300,Puketona-Waitangi,Res,6,6.5,39.0
BROWNS ROAD,103400,Ngapuhi,Res,3 or less,3.6,
CUMBER  ROAD,103400,Ngapuhi,Res,3 or less,6.6,
KOHEWHATA PLACE,103400,Ngapuhi,Res,3 or less,5.0,
MANGAKAHIA ROAD,103400,Ngapuhi,Res,3 or less,4.5,
MATARAUA ROAD,103400,Ngapuhi,Res,3 or less,3.6,
NGAPIPITO ROAD,103400,Ngapuhi,Res,3 or less,4.0,
OHAEAWAI ROAD,103400,Ngapuhi,Res,3 or less,1.7,
ORAKAU ROAD,103400,Ngapuhi,Res,3 or less,5.0,
PUIA STREET,103400,Ngapuhi,Res,3 or less,3.0,
RANGIHAMAMA ROAD,103400,Ngapuhi,Res,3 or less,3.5,
RESERVOIR ROAD,103400,Ngapuhi,Res,3 or less,5.7,
SQUIRES LANE,103400,Ngapuhi,Res,3 or less,2.7,
STATE HIGHWAY 12,103400,Ngapuhi,Res,12,5.6,67.4
TAHEKE ROAD,103400,Ngapuhi,Res,3 or less,3.5,
TE PUA ROAD,103400,Ngapuhi,Res,4,7.1,28.5
BELMONT PLACE,103500,Kaikohe,Res,3 or less,3.0,
BISSET ROAD,103500,Kaikohe,Res,3 or less,5.9,
BROADWAY,103500,Kaikohe,Res,4,4.1,16.5
BUENA VISTA RISE,103500,Kaikohe,Res,3 or less,2.0,
CAMERON STREET,103500,Kaikohe,Res,3 or less,3.5,
DE MERLE STREET,103500,Kaikohe,Res,3 or less,3.1,
GUY ROAD,103500,Kaikohe,Res,3 or less,3.4,
HAROLD AVENUE,103500,Kaikohe,Res,4,4.0,16.0
HEKE STREET,103500,Kaikohe,Res,4,2.9,11.8
HILLCREST ROAD,103500,Kaikohe,Res,4,3.8,15.2
HONGI STREET,103500,Kaikohe,Res,5,4.1,20.5
KOWHAI AVENUE,103500,Kaikohe,Res,3 or less,4.3,
MANGAKAHIA ROAD,103500,Kaikohe,Res,3 or less,2.7,
MONUMENT ROAD,103500,Kaikohe,Res,3 or less,2.4,
NGAPUA PLACE,103500,Kaikohe,Res,3 or less,6.0,
OMAPERE ROAD,103500,Kaikohe,Res,3 or less,5.1,
ORRS ROAD,103500,Kaikohe,Res,3 or less,3.1,
PENNEY CRESCENT,103500,Kaikohe,Res,3 or less,5.0,
PURDY STREET,103500,Kaikohe,Res,3 or less,2.0,
RAIHARA STREET,103500,Kaikohe,Res,3 or less,5.0,
RANKIN STREET,103500,Kaikohe,Res,3 or less,2.7,
RESERVOIR ROAD,103500,Kaikohe,Res,3 or less,4.0,
ROUTLEY AVENUE,103500,Kaikohe,Res,3 or less,4.0,
ROWSELL HEIGHTS,103500,Kaikohe,Res,3 or less,5.9,
SHAW STREET,103500,Kaikohe,Res,3 or less,6.0,
SYDNEY STREET,103500,Kaikohe,Res,3 or less,22.0,
TAHEKE ROAD,103500,Kaikohe,Res,3 or less,4.3,
TARAIRE STREET,103500,Kaikohe,Res,3 or less,4.0,
TAWANUI ROAD,103500,Kaikohe,Res,3 or less,4.8,
TOTARA PLACE,103500,Kaikohe,Res,3 or less,4.0,
TUHUNA ROAD,103500,Kaikohe,Res,3 or less,3.7,
TUI STREET,103500,Kaikohe,Res,3 or less,1.7,
WIHONGI STREET,103500,Kaikohe,Res,3 or less,4.2,
WILLIAMS AVENUE,103500,Kaikohe,Res,3 or less,2.6,
HAUTAPU ROAD,103600,Pakaraka,Res,3 or less,6.3,
HUPARA ROAD,103600,Pakaraka,Res,3 or less,5.8,
LAKELAND LANE,103600,Pakaraka,Res,3 or less,5.9,
LUDBROOK ROAD,103600,Pakaraka,Res,3 or less,4.4,
MCINTYRE ROAD,103600,Pakaraka,Res,3 or less,5.0,
OLD BAY ROAD,103600,Pakaraka,Res,3 or less,5.4,
PINEHILL ROAD,103600,Pakaraka,Res,3 or less,3.5,
SMEATH ROAD,103600,Pakaraka,Res,3 or less,4.5,
STATE HIGHWAY 1,103600,Pakaraka,Res,7,6.2,43.6
STATE HIGHWAY 10,103600,Pakaraka,Res,3 or less,6.7,
ADMIRALTY DRIVE,103700,Haruru,Res,3 or less,5.9,
ASH GROVE CIRCLE,103700,Haruru,Res,3 or less,3.6,
CAPTAINS LOOP,103700,Haruru,Res,5,5.0,24.9
CAUSEWAY ROAD,103700,Haruru,Res,3 or less,3.1,
FALLS VIEW ROAD,103700,Haruru,Res,3 or less,3.6,
GOFFE DRIVE,103700,Haruru,Res,4,6.0,24.1
HALYARD LOOP,103700,Haruru,Res,4,4.4,17.7
HARURU FALLS ROAD,103700,Haruru,Res,3 or less,4.5,
JOHNSON LANE,103700,Haruru,Res,3 or less,7.5,
NAUTICAL DRIVE,103700,Haruru,Res,3 or less,2.6,
RIVER PALMS LANE,103700,Haruru,Res,3 or less,7.5,
RIVERGLEN DRIVE,103700,Haruru,Res,3 or less,5.7,
SKIPPERS CLOSE,103700,Haruru,Res,3 or less,3.8,
SPINNAKER POINT,103700,Haruru,Res,3 or less,3.2,
THE ANCHORAGE,103700,Haruru,Res,4,4.4,17.8
THE ANCHORAGE EAST,103700,Haruru,Res,3 or less,4.8,
WATERVIEW PLACE,103700,Haruru,Res,3 or less,3.5,
WILSON ROAD,103700,Haruru,Res,3 or less,2.4,
YORKE ROAD,103700,Haruru,Res,3 or less,6.7,
BERESFORD STREET,103800,Russell,Res,3 or less,3.0,
BRIND ROAD,103800,Russell,Res,3 or less,6.0,
CHAPEL STREET,103800,Russell,Res,3 or less,5.0,
DU FRESNE PLACE,103800,Russell,Res,3 or less,5.0,
EMERALD RIDGE,103800,Russell,Res,3 or less,5.0,
FLORANCE AVENUE,103800,Russell,Res,3 or less,4.4,
GOULD STREET,103800,Russell,Res,3 or less,5.3,
HAZARD STREET,103800,Russell,Res,3 or less,4.6,
LONG BEACH ROAD,103800,Russell,Res,3 or less,4.5,
MATAUWHI ROAD,103800,Russell,Res,6,4.9,29.5
ONEROA ROAD,103800,Russell,Res,3 or less,4.3,
POMARE ROAD,103800,Russell,Res,3 or less,3.6,
PROSPECT STREET,103800,Russell,Res,3 or less,10.0,
PUKEMATU LANE,103800,Russell,Res,3 or less,8.3,
REWA PLACE,103800,Russell,Res,3 or less,4.9,
RUSSELL HEIGHTS,103800,Russell,Res,5,5.8,29.1
TAPEKA HEIGHTS LANE,103800,Russell,Res,3 or less,4.0,
TAPEKA ROAD,103800,Russell,Res,3 or less,3.7,
THE STRAND,103800,Russell,Res,3 or less,5.0,
TITORE WAY,103800,Russell,Res,3 or less,5.5,
WELLINGTON STREET,103800,Russell,Res,5,6.1,30.3
BAYVIEW ROAD,103900,Paihia,Res,3 or less,7.9,
BEDGGOOD CLOSE,103900,Paihia,Res,3 or less,10.5,
BINNIE STREET,103900,Paihia,Res,3 or less,3.8,
COUTTS AVENUE,103900,Paihia,Res,3 or less,5.0,
DAVIS CRESCENT,103900,Paihia,Res,7,4.9,34.6
KINGS ROAD,103900,Paihia,Res,4,3.8,15.2
MARSDEN ROAD,103900,Paihia,Res,3 or less,5.0,
SCHOOL ROAD,103900,Paihia,Res,8,4.8,38.1
SEAVIEW HEIGHTS,103900,Paihia,Res,3 or less,10.1,
SEAVIEW ROAD,103900,Paihia,Res,3 or less,4.8,
SULLIVANS ROAD,103900,Paihia,Res,3 or less,5.5,
TAHUNA ROAD,103900,Paihia,Res,3 or less,6.4,
TOTARA HEIGHTS WAY,103900,Paihia,Res,3 or less,4.0,
MANGAKAHIA ROAD,104000,Mataraua Forest,Res,5,3.6,18.2
MATARAUA ROAD,104000,Mataraua Forest,Res,3 or less,3.9,
PICADILLY ROAD,104000,Mataraua Forest,Res,3 or less,2.1,
WHIU ROAD,104000,Mataraua Forest,Res,3 or less,3.1,
CHERRINGTON ROAD,104100,Matawaia-Taumarere,Res,3 or less,5.0,
DAVEYS ROAD,104100,Matawaia-Taumarere,Res,3 or less,5.0,
DOMAIN ROAD,104100,Matawaia-Taumarere,Res,3 or less,2.3,
HAUTAPU ROAD,104100,Matawaia-Taumarere,Res,3 or less,5.0,
NGAPIPITO ROAD,104100,Matawaia-Taumarere,Res,8,5.6,45.0
NGAWHITU ROAD,104100,Matawaia-Taumarere,Res,3 or less,7.5,
OPAHI ROAD,104100,Matawaia-Taumarere,Res,3 or less,7.9,
PACKER ROAD,104100,Matawaia-Taumarere,Res,3 or less,5.0,
PAIHIA ROAD,104100,Matawaia-Taumarere,Res,3 or less,3.1,
PAKARU ROAD,104100,Matawaia-Taumarere,Res,3 or less,3.8,
PARAHA ROAD,104100,Matawaia-Taumarere,Res,3 or less,6.0,
PIPIWAI ROAD,104100,Matawaia-Taumarere,Res,3 or less,6.0,
RUAPEKAPEKA ROAD,104100,Matawaia-Taumarere,Res,3 or less,3.7,
SETTLEMENT ROAD,104100,Matawaia-Taumarere,Res,3 or less,3.7,
STATE HIGHWAY 1,104100,Matawaia-Taumarere,Res,3 or less,3.9,
STATE HIGHWAY 11,104100,Matawaia-Taumarere,Res,3 or less,3.8,
TANA ROAD,104100,Matawaia-Taumarere,Res,3 or less,5.0,
TIROHANGA ROAD,104100,Matawaia-Taumarere,Res,3 or less,2.0,
WAHAMITI LANE,104100,Matawaia-Taumarere,Res,3 or less,10.0,
WAIKARE ROAD,104100,Matawaia-Taumarere,Res,3 or less,5.0,
WAIOMIO ROAD,104100,Matawaia-Taumarere,Res,4,4.7,18.8
AUCKS ROAD,104200,Russell Peninsula,Res,9,4.1,37.1
DEEMING ROAD,104200,Russell Peninsula,Res,3 or less,5.3,
GILBERT MAIR RISE,104200,Russell Peninsula,Res,3 or less,5.7,
JAMES CLENDON PLACE,104200,Russell Peninsula,Res,3 or less,6.7,
KAHA PLACE,104200,Russell Peninsula,Res,3 or less,9.3,
KAKAPU ROAD,104200,Russell Peninsula,Res,3 or less,5.0,
KANUKA GROVE,104200,Russell Peninsula,Res,3 or less,9.0,
LANE ROAD,104200,Russell Peninsula,Res,3 or less,5.0,
LICHEN GROVE,104200,Russell Peninsula,Res,5,5.0,24.8
MAJOR BRIDGE DRIVE,104200,Russell Peninsula,Res,3 or less,3.0,
OKIATO ROAD,104200,Russell Peninsula,Res,3 or less,5.0,
OTAMARUA ROAD,104200,Russell Peninsula,Res,3 or less,6.7,
PAROA ROAD,104200,Russell Peninsula,Res,3 or less,5.0,
RUSSELL ROAD,104200,Russell Peninsula,Res,3 or less,10.0,
TAIARURU WAY,104200,Russell Peninsula,Res,3 or less,10.0,
TE AKAU DRIVE,104200,Russell Peninsula,Res,3 or less,5.9,
TE WAHAPU ROAD,104200,Russell Peninsula,Res,13,5.2,67.7
TIKITIKI LANE,104200,Russell Peninsula,Res,3 or less,6.0,
TOI TRACK,104200,Russell Peninsula,Res,3 or less,5.5,
WEKA LANE,104200,Russell Peninsula,Res,3 or less,8.1,
ARABELLA ROAD,104300,Opua (Far North District),Res,3 or less,3.5,
BROADVIEW ROAD,104300,Opua (Far North District),Res,3 or less,5.0,
CRESWELL STREET,104300,Opua (Far North District),Res,3 or less,5.0,
HIHITAHI RISE,104300,Opua (Far North District),Res,3 or less,4.1,
KANE STREET,104300,Opua (Far North District),Res,3 or less,4.5,
KELLET STREET,104300,Opua (Far North District),Res,3 or less,2.0,
KENNEDY STREET,104300,Opua (Far North District),Res,3 or less,3.5,
MARINA RISE,104300,Opua (Far North District),Res,3 or less,2.3,
OROMAHOE ROAD,104300,Opua (Far North District),Res,3 or less,5.3,
OSBORNE STREET,104300,Opua (Far North District),Res,3 or less,10.0,
PAIHIA ROAD,104300,Opua (Far North District),Res,4,5.3,21.1
POINT VERONICA DRIVE,104300,Opua (Far North District),Res,3 or less,12.0,
PUKETIRO PLACE,104300,Opua (Far North District),Res,3 or less,5.7,
ROSELLA ROAD,104300,Opua (Far North District),Res,3 or less,5.0,
ROSS STREET,104300,Opua (Far North District),Res,3 or less,5.0,
